candidate_id,kind,eligible,params,tie_order,complexity,train_accuracy,train_correct,train_total,train_macro_f1,val_accuracy,val_correct,val_total,val_macro_f1,val_balanced_accuracy,val_recall_range,val_arr_recall
0,record_snapshot_count,0,{},0|1|2|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
1,record_snapshot_count,0,{},0|2|1|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
2,record_snapshot_count,0,{},1|0|2|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
3,record_snapshot_count,0,{},2|0|1|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
4,record_snapshot_count,0,{},3|1|2|0,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
5,record_snapshot_count,0,{},3|2|1|0,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
6,record_mem_sum,0,{},0|1|2|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
7,record_mem_sum,0,{},0|2|1|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
8,record_mem_sum,0,{},1|0|2|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
9,record_mem_sum,0,{},2|0|1|3,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
10,record_mem_sum,0,{},3|1|2|0,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
11,record_mem_sum,0,{},3|2|1|0,1,0.7794117647058824,53,68,0.7721751866538064,0.84375,27,32,0.8216577540106952,0.84375,0.625,0.375
